,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1950,Curly Armstrong,G-F,31,FTW,63,,,,0.368,,0.467,,,,,,,,,,-0.1,3.6,3.5,,,,,,,144,516,0.279,,,,144,516,0.279,0.279,170,241,0.705,,,,176,,,,217,458
1,1950,Cliff Barker,SG,29,INO,49,,,,0.435,,0.387,,,,,,,,,,1.6,0.6,2.2,,,,,,,102,274,0.372,,,,102,274,0.372,0.372,75,106,0.708,,,,109,,,,99,279
2,1950,Leo Barnhorst,SF,25,CHS,67,,,,0.394,,0.259,,,,,,,,,,0.9,2.8,3.6,,,,,,,174,499,0.349,,,,174,499,0.349,0.349,90,129,0.698,,,,140,,,,192,438
3,1950,Ed Bartels,F,24,TOT,15,,,,0.312,,0.395,,,,,,,,,,-0.5,-0.1,-0.6,,,,,,,22,86,0.256,,,,22,86,0.256,0.256,19,34,0.559,,,,20,,,,29,63
4,1950,Ed Bartels,F,24,DNN,13,,,,0.308,,0.378,,,,,,,,,,-0.5,-0.1,-0.6,,,,,,,21,82,0.256,,,,21,82,0.256,0.256,17,31,0.548,,,,20,,,,27,59
5,1950,Ed Bartels,F,24,NYK,2,,,,0.376,,0.75,,,,,,,,,,0,0,0,,,,,,,1,4,0.25,,,,1,4,0.25,0.25,2,3,0.667,,,,0,,,,2,4
6,1950,Ralph Beard,G,22,INO,60,,,,0.422,,0.301,,,,,,,,,,3.6,1.2,4.8,,,,,,,340,936,0.363,,,,340,936,0.363,0.363,215,282,0.762,,,,233,,,,132,895
7,1950,Gene Berce,G-F,23,TRI,3,,,,0.275,,0.313,,,,,,,,,,-0.1,0,-0.1,,,,,,,5,16,0.313,,,,5,16,0.313,0.313,0,5,0,,,,2,,,,6,10
8,1950,Charlie Black,F-C,28,TOT,65,,,,0.346,,0.395,,,,,,,,,,-2.2,5,2.8,,,,,,,226,813,0.278,,,,226,813,0.278,0.278,209,321,0.651,,,,163,,,,273,661
9,1950,Charlie Black,F-C,28,FTW,36,,,,0.362,,0.48,,,,,,,,,,-0.7,2.2,1.5,,,,,,,125,435,0.287,,,,125,435,0.287,0.287,132,209,0.632,,,,75,,,,140,382
10,1950,Charlie Black,F-C,28,AND,29,,,,0.326,,0.296,,,,,,,,,,-1.5,2.8,1.3,,,,,,,101,378,0.267,,,,101,378,0.267,0.267,77,112,0.688,,,,88,,,,133,279
11,1951,Nelson Bobb,PG,25,PHW,57,,,,0.396,,0.528,,,,,,,,,,0.4,1.3,1.8,,,,,,,80,248,0.323,,,,80,248,0.323,0.323,82,131,0.626,,,,46,,,,97,242
